C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%);;;;
FRAS3;FRAS-LE;ON  EJ  N1;89.841.163;0,086;;;;
GFSA3;GAFISA;ON      NM;115.878.978;0,006;;;;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,011;;;;
GGPS3;GPS;ON      NM;378.836.983;0,25;;;;
GMAT3;GRUPO MATEUS;ON      NM;461.006.420;0,129;;;;
GOAU4;GERDAU MET;PN      N1;649.238.303;0,297;;;;
GRND3;GRENDENE;ON      NM;268.118.086;0,065;;;;
GUAR3;GUARARAPES;ON      NM;81.942.860;0,022;;;;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,471;;;;
HBSA3;HIDROVIAS;ON      NM;759.856.429;0,097;;;;
HYPE3;HYPERA;ON  EDJ NM;370.735.677;0,312;;;;
IGTI11;IGUATEMI S.A;UNT     N1;211.783.588;0,17;;;;
INTB3;INTELBRAS;ON      NM;114.286.318;0,066;;;;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,162;;;;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,419;;;;
ITSA4;ITAUSA;PN      N1;5.778.248.950;2,314;;;;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;402.586.896;0,499;;;;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.792.902.422;6,71;;;;
JALL3;JALLESMACHAD;ON      NM;96.226.077;0,02;;;;
JBSS3;JBS;ON      NM;1.145.962.972;1,955;;;;
JHSF3;JHSF PART;ON  ED  NM;292.921.855;0,05;;;;
JSLG3;JSL;ON  EDJ NM;63.199.829;0,017;;;;
KEPL3;KEPLER WEBER;ON      NM;174.021.783;0,074;;;;
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,815;;;;
LAVV3;LAVVI;ON      NM;73.950.129;0,025;;;;
LEVE3;METAL LEVE;ON  EJ  NM;52.865.876;0,065;;;;
LJQQ3;QUERO-QUERO;ON  EJS NM;187.622.963;0,018;;;;
LOGG3;LOG COM PROP;ON      NM;46.519.104;0,039;;;;
LREN3;LOJAS RENNER;ON  EJ  NM;1.051.120.777;0,6;;;;
LWSA3;LWSA;ON      NM;389.635.155;0,059;;;;
MDIA3;M.DIASBRANCO;ON      NM;66.385.773;0,061;;;;
MDNE3;MOURA DUBEUX;ON      NM;53.382.259;0,026;;;;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,104;;;;
MILS3;MILLS;ON  EJ  NM;170.940.549;0,067;;;;
MLAS3;MULTILASER;ON      NM;386.245.397;0,019;;;;
MOVI3;MOVIDA;ON  EJ  NM;121.834.637;0,021;;;;
MRFG3;MARFRIG;ON      NM;302.019.876;0,239;;;;
MRVE3;MRV;ON      NM;377.241.484;0,091;;;;
MTRE3;MITRE REALTY;ON  ED  NM;57.185.919;0,008;;;;
MULT3;MULTIPLAN;ON  EJ  N2;314.150.156;0,299;;;;
MYPK3;IOCHP-MAXION;ON      NM;130.223.270;0,068;;;;
NEOE3;NEOENERGIA;ON      NM;195.036.523;0,173;;;;
NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,496;;;;
ODPV3;ODONTOPREV;ON  EJ  NM;253.822.668;0,123;;;;
ONCO3;ONCOCLINICAS;ON      NM;573.177.887;0,066;;;;
OPCT3;OCEANPACT;ON      NM;126.724.185;0,031;;;;
ORVR3;ORIZON;ON      NM;46.587.569;0,082;;;;
PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,058;;;;
PETR3;PETROBRAS;ON  EDJ N2;3.514.947.134;6,664;;;;
PETR4;PETROBRAS;PN  EDJ N2;4.431.132.660;7,569;;;;
PETZ3;PETZ;ON      NM;293.689.428;0,055;;;;
PGMN3;PAGUE MENOS;ON      NM;180.312.899;0,026;;;;
PLPL3;PLANOEPLANO;ON      NM;54.539.741;0,023;;;;
PNVL3;DIMED;ON      NM;71.516.013;0,028;;;;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,23;;;;
PORT3;WILSON SONS;ON      NM;185.686.454;0,144;;;;
POSI3;POSITIVO TEC;ON      NM;72.786.803;0,017;;;;
PRIO3;PETRORIO;ON      NM;779.999.989;1,488;;;;
PRNR3;PRINER;ON      NM;45.899.771;0,028;;;;
PSSA3;PORTO SEGURO;ON  EJ  NM;182.560.698;0,298;;;;
